,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salario
0,persona_0,30,M,Cota,3,3,0,2133
1,persona_1,29,M,Cota,3,2,0,6368
2,persona_2,53,M,Zipaquirá,1,8,0,5255
3,persona_3,61,M,Cota,2,5,0,6994
4,persona_4,47,F,Cota,0,4,0,6081
5,persona_5,35,F,Chía,2,4,0,1970
6,persona_6,41,M,Bogotá,1,5,1,6026
7,persona_7,53,M,Cota,0,7,0,6740
8,persona_8,56,F,Bogotá,1,6,0,4505
9,persona_9,43,M,Bogotá,2,9,1,4711
10,persona_10,48,M,Cajicá,3,1,1,5814
11,persona_11,43,M,Chía,2,2,1,4724
12,persona_12,58,M,Chía,0,7,2,1384
13,persona_13,56,M,Cajicá,2,4,2,3325
14,persona_14,63,M,Cajicá,3,5,1,3190
15,persona_15,59,F,Cajicá,1,10,2,2180
16,persona_16,36,F,Cota,2,10,1,926
17,persona_17,47,M,Zipaquirá,0,2,2,4136
18,persona_18,43,M,Cota,0,10,0,6200
19,persona_19,60,M,Bogotá,0,10,2,2643
20,persona_20,39,F,Zipaquirá,0,6,1,1033
21,persona_21,66,F,Bogotá,3,8,1,4020
22,persona_22,52,M,Cajicá,1,6,0,2217
23,persona_23,54,M,Cota,1,1,1,2485
24,persona_24,57,F,Bogotá,2,5,1,2075
25,persona_25,30,F,Chía,3,0,0,1420
26,persona_26,59,M,Bogotá,1,1,1,5754
27,persona_27,62,M,Chía,0,1,2,4616
28,persona_28,39,M,Cajicá,3,4,2,1316
29,persona_29,20,F,Cajicá,1,7,1,6403
30,persona_30,27,M,Cota,0,8,1,2141
31,persona_31,23,M,Bogotá,3,10,1,6760
32,persona_32,21,F,Chía,1,6,2,3264
33,persona_33,36,M,Bogotá,0,6,1,6183
34,persona_34,20,F,Chía,0,0,2,4623
35,persona_35,67,M,Chía,0,9,2,6459
36,persona_36,44,F,Cajicá,3,6,0,1454
37,persona_37,49,M,Chía,1,0,0,4227
38,persona_38,28,F,Cota,0,8,0,2202
39,persona_39,57,M,Cajicá,0,9,0,1365
40,persona_40,60,M,Bogotá,2,10,2,4144
41,persona_41,27,M,Bogotá,3,9,1,3368
42,persona_42,40,F,Zipaquirá,3,4,1,3928
43,persona_43,39,F,Chía,0,6,1,6643
44,persona_44,54,F,Cajicá,1,6,1,1889
45,persona_45,27,F,Cota,0,3,2,4062
46,persona_46,28,M,Cota,0,1,2,3738
47,persona_47,42,F,Cajicá,2,7,2,5578
48,persona_48,69,M,Cajicá,1,4,1,3562
49,persona_49,33,F,Cota,2,3,1,3088
50,persona_50,68,F,Cota,2,6,0,4522
51,persona_51,66,F,Cajicá,3,6,2,4492
52,persona_52,38,F,Cota,0,7,2,2290
53,persona_53,55,F,Zipaquirá,2,2,2,1428
54,persona_54,64,M,Chía,3,10,0,1195
55,persona_55,56,F,Cota,2,3,1,1355
56,persona_56,52,M,Bogotá,3,3,2,3268
57,persona_57,70,F,Bogotá,3,9,0,3301
58,persona_58,46,M,Cajicá,0,8,2,5265
59,persona_59,59,M,Zipaquirá,1,2,2,4345
60,persona_60,50,F,Cota,2,2,0,2155
61,persona_61,23,F,Zipaquirá,0,5,1,2091
62,persona_62,68,F,Chía,2,9,2,3575
63,persona_63,35,F,Cota,3,3,0,4836
64,persona_64,27,F,Zipaquirá,0,1,2,6295
65,persona_65,49,F,Bogotá,1,2,2,1446
66,persona_66,21,F,Bogotá,0,10,1,3404
67,persona_67,64,M,Bogotá,1,3,2,6284
68,persona_68,39,F,Cajicá,0,3,2,985
69,persona_69,37,M,Cajicá,3,5,0,6744
70,persona_70,41,M,Cajicá,3,7,2,6920
71,persona_71,23,M,Chía,1,6,0,1932
72,persona_72,28,M,Cota,1,8,2,2097
73,persona_73,47,M,Zipaquirá,0,10,1,4091
74,persona_74,68,F,Cota,0,2,0,2904
75,persona_75,37,F,Zipaquirá,3,4,1,1501
76,persona_76,43,M,Bogotá,3,5,0,5588
77,persona_77,69,F,Chía,1,6,0,5200
78,persona_78,20,M,Cajicá,2,6,2,3412
79,persona_79,56,M,Zipaquirá,1,6,1,4403
80,persona_80,52,M,Cajicá,3,0,2,2335
